category,scientific_name,common_names,conservation_status,lifespan_years,mass_kg
Mammal,Parascalops breweri,Hairy-Tailed Mole,Endangered,5.5,2.612
Mammal,Scalopus aquaticus,Eastern Mole,,50.0,7.49
Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,,1.7,0.352
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern,7.8,0.567
Bird,Accipiter gentilis,Northern Goshawk,Endangered,3.8,0.294
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern,4.0,0.086
Bird,Aquila chrysaetos,Golden Eagle,Species of Concern,3.9,0.366
Bird,Buteo jamaicensis,Red-Tailed Hawk,Species of Concern,2.7,0.044
Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern,12.0,1.049
Bird,Buteo platypterus,Broad-Winged Hawk,Species of Concern,9.3,0.526
Bird,Circus cyaneus,Northern Harrier,Species of Concern,7.2,0.544
Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern,0.5,0.306
Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery,3.9,0.031
Bird,Ictinia mississippiensis,Mississippi Kite,,1.0,0.144
Bird,Cathartes aura,Turkey Vulture,Species of Concern,7.8,0.391
Bird,Coragyps atratus,Black Vulture,Endangered,14.0,0.182
Bird,Pandion haliaetus,Osprey,Species of Concern,2.0,0.636
Bird,Aix sponsa,Wood Duck,,4.5,0.702
Bird,Anas acuta,Northern Pintail,In Recovery,5.6,1.358
Bird,Anas americana,American Wigeon,,15.9,0.272
Bird,Anas clypeata,Northern Shoveler,Species of Concern,5.9,0.506
Bird,Anas crecca,Green-Winged Teal,Species of Concern,22.8,0.085
Bird,Anas discors,Blue-Winged Teal,Endangered,3.7,0.147
Bird,Anas platyrhynchos,Mallard,,6.1,0.467
Bird,Anas rubripes,American Black Duck,Species of Concern,5.4,0.816
Bird,Aythya affinis,Lesser Scaup,Species of Concern,24.4,1.673
Bird,Aythya americana,Redhead,,1.0,0.64
Bird,Aythya collaris,Ring-Necked Duck,Species of Concern,5.9,1.897
Bird,Branta bernicla,Brant,In Recovery,4.6,0.161
Bird,Branta canadensis,Canada Goose,Endangered,6.3,0.182
Bird,Bucephala albeola,Bufflehead,,6.2,1.154
Bird,Bucephala clangula,Common Goldeneye,Threatened,2.5,0.309
Bird,Chen caerulescens,Snow Goose,Endangered,6.5,1.091
Bird,Histrionicus histrionicus,Harlequin Duck,,1.4,0.244
Bird,Lophodytes cucullatus,Hooded Merganser,,1.4,1.043
Bird,Melanitta deglandi,White-Winged Scoter,Threatened,5.8,0.182
Bird,Melanitta fusca,White-Winged Scoter,Species of Concern,10.2,0.243
Bird,Melanitta nigra,Black Scoter,Endangered,16.2,1.341
Bird,Mergus merganser,Common Merganser,,11.3,0.148
Bird,Mergus serrator,Red-Breasted Merganser,Endangered,2.2,0.212
Bird,Oxyura jamaicensis,Ruddy Duck,Endangered,1.4,0.264
Bird,Chaetura pelagica,Chimney Swift,Endangered,3.9,0.361
Bird,Archilochus colubris,Ruby-Throated Hummingbird,In Recovery,2.1,0.107
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,Species of Concern,2.4,0.659
Bird,Caprimulgus vociferus,Whip-Poor-Will,In Recovery,3.2,0.118
Bird,Chordeiles minor,Common Nighthawk,,3.4,0.848
Bird,Charadrius semipalmatus,Semipalmated Plover,Endangered,0.7,0.112
Bird,Charadrius vociferus,Killdeer,,5.7,5.943
Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",,1.3,0.103
Bird,Chlidonias niger,Black Tern,Species of Concern,5.4,0.943
Bird,Larus argentatis,Herring Gull,,3.6,0.847
Bird,Larus atricilla,Laughing Gull,Species of Concern,8.7,0.047
Bird,Larus delawarensis,Ring-Billed Gull,Species of Concern,22.6,1.049
Bird,Larus philadelphia,Bonaparte's Gull,,14.4,1.466
Bird,Sterna fuscata,Sooty Tern,,0.7,0.123
Bird,Actitis macularia,Spotted Sandpiper,,20.4,0.922
Bird,Calidris minutilla,Least Sandpiper,Species of Concern,22.3,0.584
Bird,Calidris pusilla,Semipalmated Sandpiper,,6.6,0.564
Bird,Catoptrophorus semipalmatus,Willet,,10.5,0.192
Bird,Gallinago gallinago,Common Snipe,,1.9,0.098
Bird,Limnodromus griseus,Short-Billed Dowitcher,,1.1,0.936
Bird,Phalaropus fulicarius,Red Phalarope,,2.8,0.136
Bird,Phalaropus lobatus,Red-Necked Phalarope,Species of Concern,25.5,0.618
Bird,Philomachus pugnax,Ruff,,1.5,0.355
Bird,Scolopax minor,American Woodcock,,3.9,0.503
Bird,Tringa flavipes,Lesser Yellowlegs,Species of Concern,5.5,0.674
Bird,Tringa melanoleuca,Greater Yellowlegs,,3.4,0.569
Bird,Tringa solitaria,Solitary Sandpiper,Species of Concern,2.6,0.241
Bird,Columba livia,Rock Dove,,10.1,1.306
Bird,Ectopistes migratorius,Passenger Pigeon,,3.5,1.565
Bird,Zenaida macroura,Mourning Dove,,0.9,0.369
Bird,Ceryle alcyon,Belted Kingfisher,Threatened,7.5,0.898
Bird,Ceryle torquata,Ringed Kingfisher,Species of Concern,9.2,0.36
Bird,Coccyzus americanus,Yellow-Billed Cuckoo,,14.2,0.574
Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern,3.6,0.726
Bird,Falco columbarius,Merlin,Species of Concern,1.2,0.166
Bird,Falco peregrinus,Peregrine Falcon,Species of Concern,5.4,1.251
Bird,Falco sparverius,American Kestrel,,23.4,0.439
Bird,Colinus virginianus,Northern Bobwhite,,11.8,1.156
Bird,Alectoris chukar,Chukar,,18.1,2.947
Bird,Bonasa umbellus,Ruffed Grouse,,10.1,0.158
Bird,Meleagris gallopavo,Wild Turkey,Species of Concern,5.5,0.236
Bird,Pavo cristatus,Peacock,Species of Concern,4.0,0.254
Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",,6.7,0.18
Bird,Gavia immer,Common Loon,Species of Concern,2.9,0.68
Bird,Grus americana,Whooping Crane,Endangered,1.6,0.249
Bird,Grus canadensis,Sandhill Crane,Threatened,10.4,0.642
Bird,Fulica americana,American Coot,,20.1,0.417
Bird,Gallinula chloropus,Common Moorhen,,1.8,0.191
Bird,Porzana carolina,Sora,,17.2,1.078
Bird,Rallus elegans,King Rail,Species of Concern,20.4,0.16
Bird,Rallus limicola,Virginia Rail,,12.8,4.02
Bird,Eremophila alpestris,Horned Lark,Species of Concern,2.9,0.605
Bird,Bombycilla cedrorum,Cedar Waxwing,,4.1,0.258
Bird,Calcarius ornatus,Chestnut-Collared Longspur,Species of Concern,2.1,0.104
Bird,Plectrophenax nivalis,Snow Bunting,,3.4,0.23
Bird,Cardinalis cardinalis,Northern Cardinal,In Recovery,6.7,0.583
Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern,1.5,0.455
Bird,Passerina cyanea,Indigo Bunting,,1.6,0.57
Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,,4.9,0.447
Bird,Piranga olivacea,Scarlet Tanager,Species of Concern,3.6,0.178
Bird,Piranga rubra,Summer Tanager,Species of Concern,4.0,0.156
Bird,Spiza americana,Dickcissel,,22.8,0.314
Bird,Certhia americana,Brown Creeper,Species of Concern,7.3,0.517
Bird,Certhia familiaris,Eurasian Treecreeper,In Recovery,9.1,1.684
Bird,Corvus brachyrhynchos,American Crow,,1.3,0.119
Bird,Corvus corax,Common Raven,,10.5,0.4
Bird,Cyanocitta cristata,Blue Jay,Species of Concern,3.5,0.964
Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern,3.9,0.177
Bird,Ammodramus henslowii,Henslow's Sparrow,,4.7,0.545
Bird,Ammodramus leconteii,Le Conte's Sparrow,Species of Concern,12.8,1.739
Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern,1.0,0.099
Bird,Chondestes grammacus,Lark Sparrow,,0.7,0.435
Bird,Junco hyemalis,Dark-Eyed Junco,,5.0,0.691
Bird,Melospiza georgiana,Swamp Sparrow,,11.0,2.067
Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern,8.2,0.427
Bird,Melospiza melodia,Song Sparrow,,9.2,0.029
Bird,Passerculus sandwichensis,Savannah Sparrow,Endangered,5.3,0.101
Bird,Passerella iliaca,Fox Sparrow,,3.6,0.231
Bird,Pipilo erythrophthalmus,"Eastern Towhee, Rufous-Sided Towhee",Endangered,0.7,0.477
Bird,Pooecetes gramineus,Vesper Sparrow,,4.8,0.832
Bird,Spizella arborea,American Tree Sparrow,,47.9,10.158
Bird,Spizella passerina,Chipping Sparrow,,4.2,0.277
Bird,Spizella pusilla,Field Sparrow,,7.5,1.194
Bird,Zonotrichia albicollis,White-Throated Sparrow,Species of Concern,10.1,1.602
Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,,2.5,0.255
Bird,Zonotrichia leucophrys,White-Crowned Sparrow,,7.7,0.439
Bird,Carduelis flammea,Common Redpoll,,28.1,1.283
Bird,Carduelis pinus,Pine Siskin,,3.2,0.301
Bird,Carduelis tristis,American Goldfinch,,1.6,0.603
Bird,Carpodacus mexicanus,House Finch,,3.9,0.849
Bird,Carpodacus purpureus,Purple Finch,,0.7,0.322
Bird,Coccothraustes vespertinus,Evening Grosbeak,,15.0,3.976
Bird,Loxia curvirostra,Red Crossbill,Species of Concern,3.9,0.044
Bird,Loxia leucoptera,White-Winged Crossbill,,28.3,0.732
Bird,Hirundo rustica,Barn Swallow,,2.4,0.184
Bird,Petrochelidon pyrrhonota,Cliff Swallow,,6.0,0.102
Bird,Progne subis,Purple Martin,Species of Concern,3.3,0.652
Bird,Riparia riparia,Bank Swallow,Species of Concern,3.7,0.896
Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Species of Concern,0.9,0.231
Bird,Tachycineta bicolor,Tree Swallow,Species of Concern,3.2,0.145
Bird,Agelaius phoeniceus,Red-Winged Blackbird,Endangered,4.8,1.212
Bird,Dolichonyx oryzivorus,Bobolink,Species of Concern,5.0,0.217
Bird,Euphagus carolinus,Rusty Blackbird,,3.0,1.124
Bird,Icterus galbula,"Baltimore Oriole, Northern Oriole",Endangered,5.4,0.403
Bird,Icterus spurius,Orchard Oriole,Species of Concern,2.9,0.355
Bird,Molothrus ater,Brown-Headed Cowbird,,7.8,15.32
Bird,Quiscalus quiscula,Common Grackle,Species of Concern,6.6,0.993
Bird,Sturnella magna,Eastern Meadowlark,,2.5,0.05
Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,,10.4,0.684
Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern,3.5,0.152
Bird,Dumetella carolinensis,Gray Catbird,Endangered,4.9,3.615
Bird,Mimus polyglottos,"Mockingbird, Northern Mockingbird",Species of Concern,3.2,0.186
Bird,Toxostoma rufum,Brown Thrasher,,2.5,0.278
Bird,Anthus rubescens,Water Pipit,,4.3,0.369
Bird,Anthus spinoletta,Water Pipit,,41.6,1.689
Bird,Baeolophus bicolor,Tufted Titmouse,,1.4,0.186
Bird,Poecile atricapillus,Black-Capped Chickadee,,3.4,0.195
Bird,Poecile carolinensis,Carolina Chickadee,,2.9,0.323
Bird,Dendroica caerulescens,Black-Throated Blue Warbler,Threatened,3.1,0.077
Bird,Dendroica castanea,Bay-Breasted Warbler,Species of Concern,6.8,2.402
Bird,Dendroica cerulea,Cerulean Warbler,Species of Concern,7.3,0.724
Bird,Dendroica coronata,Yellow-Rumped Warbler,,0.7,0.29
Bird,Dendroica discolor,Prairie Warbler,,17.3,0.58
Bird,Dendroica dominica,Yellow-Throated Warbler,,18.3,1.426
Bird,Dendroica fusca,Blackburnian Warbler,Species of Concern,2.3,0.604
Bird,Dendroica magnolia,Magnolia Warbler,Species of Concern,0.5,0.036
Bird,Dendroica palmarum,Palm Warbler,,1.7,0.505
Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,,6.2,3.307
Bird,Dendroica petechia,Yellow Warbler,,39.3,0.22
Bird,Dendroica pinus,Pine Warbler,In Recovery,9.4,1.193
Bird,Dendroica striata,Blackpoll Warbler,,1.3,0.865
Bird,Dendroica tigrina,Cape May Warbler,,1.9,0.138
Bird,Dendroica virens,Black-Throated Green Warbler,,4.6,0.284
Bird,Geothlypis trichas,Common Yellowthroat,Species of Concern,2.0,0.012
Bird,Helmitheros vermivorus,Worm-Eating Warbler,Threatened,1.1,0.052
Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern,4.0,0.335
Bird,Limnothlypis swainsonii,Swainson's Warbler,Species of Concern,1.7,0.103
Bird,Mniotilta varia,Black-And-White Warbler,Species of Concern,3.2,2.944
Bird,Oporornis agilis,Connecticut Warbler,,3.8,0.093
Bird,Oporornis formosus,Kentucky Warbler,,8.5,0.215
Bird,Oporornis philadelphia,Mourning Warbler,Species of Concern,11.0,0.249
Bird,Parula americana,Northern Parula,Species of Concern,13.7,1.623
Bird,Protonotaria citrea,Prothonotary Warbler,Species of Concern,1.9,0.136
Bird,Seiurus aurocapilla,Ovenbird,Endangered,14.1,0.593
Bird,Seiurus motacilla,Louisiana Waterthrush,,6.5,0.392
Bird,Seiurus noveboracensis,Northern Waterthrush,Species of Concern,3.9,0.159
Bird,Setophaga ruticilla,American Redstart,,3.3,0.38
Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered,3.4,0.315
Bird,Vermivora celata,Orange-Crowned Warbler,,4.3,0.232
Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,,45.4,0.2
Bird,Vermivora lawrencei,Lawrence's Warbler,,5.7,0.309
Bird,Vermivora lawrencii,Lawrence's Warbler,Species of Concern,3.0,0.241
Bird,Vermivora leucobronchialis,Brewster's Warbler,,2.9,1.35
Bird,Vermivora peregrina,Tennessee Warbler,Endangered,5.5,7.306
Bird,Vermivora pinus,Blue-Winged Warbler,,22.7,0.064
Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern,7.3,4.278
Bird,Wilsonia canadensis,Canada Warbler,,5.6,0.034
Bird,Wilsonia citrina,Hooded Warbler,Endangered,3.3,0.59
Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern,7.7,0.31
Bird,Passer domesticus,House Sparrow,Endangered,11.1,0.65
Bird,Polioptila caerulea,Blue-Gray Gnatcatcher,,2.4,0.117
Bird,Regulus calendula,Ruby-Crowned Kinglet,In Recovery,2.6,0.264
Bird,Regulus satrapa,Golden-Crowned Kinglet,,18.5,0.121
Bird,Sitta canadensis,Red-Breasted Nuthatch,Species of Concern,9.7,0.334
Bird,Sitta carolinensis,White-Breasted Nuthatch,Species of Concern,13.5,0.521
Bird,Sturnus vulgaris,European Starling,Endangered,11.4,0.732
Bird,Cistothorus palustris,Marsh Wren,Species of Concern,5.9,0.15
Bird,Cistothorus platensis,Sedge Wren,,41.5,0.844
Bird,Thryomanes bewickii,Bewick's Wren,Threatened,5.7,0.547
Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern,11.0,0.525
Bird,Thryothorus ludovicianus,Carolina Wren,Species of Concern,1.7,0.783
Bird,Troglodytes aedon,House Wren,,1.8,0.402
Bird,Troglodytes troglodytes,Winter Wren,,1.4,0.132
Bird,Catharus fuscescens,Veery,,20.2,1.569
Bird,Catharus guttatus,Hermit Thrush,,0.6,1.664
Bird,Catharus minimus,Gray-Cheeked Thrush,,3.4,0.221
Bird,Catharus ustulatus,Swainson's Thrush,Species of Concern,0.5,0.173
Bird,Hylocichla mustelina,Wood Thrush,,3.7,1.582
Bird,Sialia sialis,Eastern Bluebird,,2.6,0.147
Bird,Turdus migratorius,American Robin,,20.8,1.951
Bird,Contopus borealis,Olive-Sided Flycatcher,Species of Concern,6.6,0.307
Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern,2.2,0.183
Bird,Contopus virens,Eastern Wood-Pewee,,18.9,0.555
Bird,Empidonax alnorum,Alder Flycatcher,In Recovery,6.7,1.615
Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,,6.8,0.589
Bird,Empidonax minimus,Least Flycatcher,Threatened,2.6,1.393
Bird,Empidonax traillii,Willow Flycatcher,Species of Concern,2.0,0.667
Bird,Empidonax virescens,Acadian Flycatcher,,3.0,0.544
Bird,Myiarchus crinitus,Great Crested Flycatcher,In Recovery,4.6,0.262
Bird,Sayornis phoebe,Eastern Phoebe,,5.9,0.504
Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,,18.9,0.487
Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,Threatened,7.2,0.578
Bird,Tyrannus tyrannus,Eastern Kingbird,Species of Concern,0.5,0.585
Bird,Tyrannus verticalis,Western Kingbird,,4.7,0.169
Bird,Vireo flavifrons,Yellow-Throated Vireo,Species of Concern,2.8,2.385
Bird,Vireo gilvus,Warbling Vireo,,1.5,0.055
Bird,Vireo griseus,White-Eyed Vireo,,1.6,0.128
Bird,Vireo olivaceus,Red-Eyed Vireo,,4.1,3.645
Bird,Vireo philadelphicus,Philadelphia Vireo,,1.9,0.478
Bird,Vireo solitarius,"Blue-Headed Vireo, Solitary Vireo",Species of Concern,7.4,0.432
Bird,Ardea alba,Great Egret,Endangered,1.7,0.409
Bird,Ardea albus,Great Egret,,6.8,0.561
Bird,Ardea herodias,Great Blue Heron,Species of Concern,27.0,0.196
Bird,Botaurus lentiginosus,American Bittern,Species of Concern,1.5,0.361
Bird,Butorides virescens,Green-Backed Heron,,3.0,0.108
Bird,Egretta caerulea,Little Blue Heron,,0.7,1.031
Bird,Ixobrychus exilis,Least Bittern,Species of Concern,3.6,0.124
Bird,Nyctanassa violacea,Yellow-Crowned Night-Heron,Endangered,6.6,0.176
Bird,Nycticorax nycticorax,Black-Crowned Night-Heron,Species of Concern,8.4,0.45
Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern,6.1,0.262
Bird,Colaptes auratus,Northern Flicker,Threatened,9.0,0.083
Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern,36.6,0.417
Bird,Melanerpes carolinus,Red-Bellied Woodpecker,Species of Concern,25.1,0.325
Bird,Melanerpes erythrocephalus,Red-Headed Woodpecker,Threatened,3.4,0.929
Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered,1.1,0.202
Bird,Picoides pubescens,Downy Woodpecker,Species of Concern,2.9,0.208
Bird,Picoides villosus,Hairy Woodpecker,,2.3,0.604
Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern,4.5,0.051
Bird,Podiceps auritus,Horned Grebe,Species of Concern,1.0,0.097
Bird,Podilymbus podiceps,Pied-Billed Grebe,,3.6,0.143
Bird,Oceanodroma castro,Band-Rumped Storm-Petrel,Threatened,9.7,0.135
Bird,Aegolius,Saw-Whet Owls,,5.0,0.615
Bird,Aegolius acadicus,Northern Saw-Whet Owl,Species of Concern,3.5,1.374
Bird,Asio flammeus,Short-Eared Owl,Species of Concern,19.2,0.789
Bird,Asio otus,Long-Eared Owl,Species of Concern,0.9,0.152
Bird,Bubo virginianus,Great Horned Owl,,3.6,0.938
Bird,Megascops asio,"Eastern Screech Owl, Eastern Screech-Owl",Species of Concern,3.3,0.228
Bird,Otus asio,Eastern Screech-Owl,,5.0,0.644
Bird,Strix varia,Barred Owl,,5.2,0.229
Bird,Tyto alba,"Barn Owl, Common Barn-Owl",,9.6,0.18
Bird,Tytonidae,Barn-Owls,,3.6,0.519
Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern,4.2,0.596
Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,Species of Concern,12.0,8.583
Reptile,Carphophis,"Worm Snakes, Wormsnakes",,4.2,1.472
Reptile,Carphophis amoenus amoenus,Eastern Worm Snake,,19.5,4.967
Reptile,Carphophis amoenus helenae,Midwest Worm Snake,In Recovery,6.2,3.749
Reptile,Cemophora coccinea copei,Northern Scarlet Snake,Endangered,13.5,1.593
Reptile,Coluber constrictor constrictor,Northern Black Racer,Endangered,8.9,3.618
Reptile,Diadophis punctatus edwardsii,Northern Ringneck Snake,Species of Concern,4.9,0.721
Reptile,Elaphe guttata guttata,Corn Snake,Endangered,14.3,1.043
Reptile,Elaphe obsoleta obsoleta,Black Rat Snake,,2.7,0.752
Reptile,Heterodon platirhinos,Eastern Hognose Snake,,14.0,0.275
Reptile,Lampropeltis,"Kingsnakes, Milk Snakes",,12.2,2.605
Reptile,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,Species of Concern,9.7,5.044
Reptile,Lampropeltis getula getula,Eastern Kingsnake,,20.7,4.276
Reptile,Lampropeltis getula nigra,Black Kingsnake,In Recovery,39.4,28.516
